GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
visitcounter,visitcounter.receiver,FootFallStatisticsCsvWriter,3,41,0,0,2,15,0,6,0,6
visitcounter,visitcounter.receiver,FootfallDataConsoleReader,0,23,0,2,0,9,0,3,0,2
visitcounter,visitcounter.receiver,FootFallModel,0,15,0,0,0,6,0,3,0,3
visitcounter,visitcounter.receiver,FootFallRecordObjectStorer,0,32,0,0,0,9,0,4,0,4
visitcounter,visitcounter.receiver,Main,51,0,0,0,14,0,3,0,3,0
visitcounter,visitcounter.receiver,StatisticsCalculator,3,400,1,19,1,80,2,21,1,12
visitcounter,visitcounter.receiver,UtilityReceiver,3,60,0,2,1,19,1,7,1,6
visitcounter,visitcounter.sender,UtilitySender,3,25,1,3,1,7,2,4,1,3
visitcounter,visitcounter.sender,Main,3,46,0,0,1,16,1,2,1,2
visitcounter,visitcounter.sender,ConsoleWriterSimulatorLogic,3,37,0,4,2,14,0,5,0,3
visitcounter,visitcounter.sender,FootFallCsvReader,0,37,0,2,0,11,0,3,0,2
visitcounter,visitcounter.sender,FootFallConsoleWriter,0,12,0,0,0,4,0,3,0,3
