Date, Time
2020/01/01,08:10:01
2020/01/01,08:10:30
2020/01/01,08:15:30
2020/01/01,08:30:45
2020/01/01,10:30:45
2020/01/01,10:50:45
2020/01/01,11:30:50
2020/01/01,14:05:18
2020/01/01,16:19:59
2020/01/02,05:10:30
2020/01/02,06:10:39
2020/01/02,06:10:45
2020/01/02,06:19:39
2020/01/02,07:10:15
2020/01/02,09:10:15
2020/01/02,10:11:15
2020/01/03,08:10:01
2020/01/03,08:10:30
2020/01/03,08:15:30
2020/01/03,08:30:45
2020/01/03,10:30:45
2020/01/03,10:50:45
2020/01/03,11:30:50
2020/01/04,14:05:18
2020/01/04,16:19:59
2020/01/04,05:10:30
2020/01/04,06:10:39
2020/01/04,06:10:45
2020/01/04,06:19:39
2020/01/05,07:10:15
2020/01/05,09:10:15
2020/01/05,10:11:15
2020/01/05,08:10:01
2020/01/05,08:10:30
2020/01/05,08:15:30
2020/01/05,08:30:45
2020/01/05,10:30:45
2020/01/05,10:50:45
2020/01/05,11:30:50
2020/01/06,14:05:18
2020/01/06,16:19:59
2020/01/06,05:10:30
2020/01/06,06:10:39
2020/01/06,06:10:45
2020/01/07,06:19:39
2020/01/07,07:10:15
2020/01/07,09:10:15
2020/01/07,10:11:15
2020/01/07,08:10:01
2020/01/07,08:10:30
2020/01/07,08:15:30
2020/01/07,08:30:45
2020/01/08,10:30:45
2020/01/08,10:50:45
2020/01/08,11:30:50
2020/01/08,14:05:18
2020/01/09,16:19:59
2020/01/09,05:10:30
2020/01/09,06:10:39
2020/01/09,06:10:45
2020/01/09,06:19:39
2020/01/09,07:10:15
2020/01/09,09:10:15
2020/01/10,10:11:15
2020/01/10,08:10:01
2020/01/10,08:10:30
2020/01/10,08:15:30
2020/01/10,08:30:45
2020/01/10,10:30:45
2020/01/10,10:50:45
2020/01/10,11:30:50
2020/01/10,14:05:18
2020/01/10,16:19:59
2020/01/11,05:10:30
2020/01/11,06:10:39
2020/01/11,06:10:45
2020/01/11,06:19:39
2020/01/11,07:10:15
2020/01/11,09:10:15
2020/01/12,10:11:15
2020/01/12,08:10:01
2020/01/12,08:10:30
2020/01/12,08:15:30
2020/01/12,08:30:45
2020/01/12,10:30:45
2020/01/13,10:50:45
2020/01/13,11:30:50
2020/01/13,14:05:18
2020/01/13,16:19:59
2020/01/13,05:10:30
2020/01/13,06:10:39
2020/01/14,06:10:45
2020/01/14,06:19:39
2020/01/14,07:10:15
2020/01/14,09:10:15
2020/01/14,10:11:15
2020/01/14,08:10:01
2020/01/14,08:10:30
2020/01/14,08:15:30
2020/01/14,08:30:45
2020/01/14,10:30:45
2020/01/15,10:50:45
2020/01/15,11:30:50
2020/01/15,14:05:18
2020/01/15,16:19:59
2020/01/15,05:10:30
2020/01/15,06:10:39
2020/01/15,06:10:45
2020/01/15,06:19:39
2020/01/16,07:10:15
2020/01/16,09:10:15
2020/01/16,10:11:15
2020/01/16,08:10:01
2020/01/16,08:10:30
2020/01/16,08:15:30
2020/01/16,08:30:45
2020/01/17,10:30:45
2020/01/17,10:50:45
2020/01/17,11:30:50
2020/01/17,14:05:18
2020/01/17,16:19:59
2020/01/17,05:10:30
2020/01/17,06:10:39
2020/01/17,06:10:45
2020/01/17,06:19:39
2020/01/17,07:10:15
2020/01/17,09:10:15
2020/01/17,10:11:15
2020/01/17,08:10:01
2020/01/17,08:10:30
2020/01/17,08:15:30
2020/01/17,08:30:45
2020/01/18,10:30:45
2020/01/18,10:50:45
2020/01/18,11:30:50
2020/01/18,14:05:18
2020/01/18,16:19:59
2020/01/18,05:10:30
2020/01/18,06:10:39
2020/01/19,06:10:45
2020/01/19,06:19:39
2020/01/19,07:10:15
2020/01/19,09:10:15
2020/01/19,10:11:15
2020/01/19,08:10:01
2020/01/19,08:10:30
2020/01/19,08:15:30
2020/01/19,08:30:45
2020/01/20,10:30:45
2020/01/20,10:50:45
2020/01/20,11:30:50
2020/01/20,14:05:18
2020/01/21,16:19:59
2020/01/21,05:10:30
2020/01/21,06:10:39
2020/01/21,06:10:45
2020/01/21,06:19:39
2020/01/21,07:10:15
2020/01/21,09:10:15
2020/01/21,10:11:15
2020/01/21,08:10:01
2020/01/21,08:10:30
2020/01/21,08:15:30
2020/01/21,08:30:45
2020/01/21,10:30:45
2020/01/22,10:50:45
2020/01/22,11:30:50
2020/01/22,14:05:18
2020/01/22,16:19:59
2020/01/22,05:10:30
2020/01/22,06:10:39
2020/01/22,06:10:45
2020/01/22,06:19:39
2020/01/22,07:10:15
2020/01/22,09:10:15
2020/01/22,10:11:15
2020/01/23,08:10:01
2020/01/23,08:10:30
2020/01/24,08:15:30
2020/01/24,08:30:45
2020/01/24,10:30:45
2020/01/24,10:50:45
2020/01/24,11:30:50
2020/01/24,14:05:18
2020/01/25,16:19:59
2020/01/25,05:10:30
2020/01/25,06:10:39
2020/01/25,06:10:45
2020/01/25,06:19:39
2020/01/25,07:10:15
2020/01/25,07:10:15
2020/01/25,07:11:15
2020/01/25,08:10:01
2020/01/25,08:10:30
2020/01/26,08:15:30
2020/01/26,08:30:45
2020/01/26,10:30:45
2020/01/26,10:50:45
2020/01/26,11:30:50
2020/01/26,14:05:18
2020/01/27,16:19:59
2020/01/27,05:10:30
2020/01/27,06:10:39
2020/01/27,06:10:45
2020/01/27,06:19:39
2020/01/27,07:10:15
2020/01/27,09:10:15
2020/01/27,10:11:15
2020/01/27,08:10:01
2020/01/28,08:10:30
2020/01/28,08:15:30
2020/01/28,08:20:42
2020/01/28,10:30:45
2020/01/28,17:40:45
2020/01/28,11:30:50
2020/01/28,13:05:18
2020/01/28,16:19:59
2020/01/28,05:20:30
2020/01/28,06:16:39
2020/01/28,06:10:45
2020/01/28,06:39:39
2020/01/28,07:10:15
2020/01/28,09:10:15
2020/01/29,10:11:15
2020/01/29,08:10:01
2020/01/29,10:10:30
2020/01/29,08:15:30
2020/01/30,08:30:45
2020/01/30,01:30:45
2020/01/30,10:50:45
2020/01/30,11:39:50
2020/01/30,14:05:18
2020/01/30,16:50:59
2020/01/30,23:10:30
2020/01/30,06:10:39
2020/01/30,18:10:45
2020/01/30,06:19:39
2020/01/30,07:10:15
2020/01/30,09:20:15
2020/01/31,11:11:15
